Date,Open,High,Low,Close,Volume
17-Jun-11,506.18,506.69,484.80,485.02,5187279
16-Jun-11,502.81,508.13,496.67,500.37,2757216
15-Jun-11,505.03,508.35,500.61,502.95,2073301
14-Jun-11,508.15,514.08,506.99,508.37,2341461
13-Jun-11,510.00,510.20,502.17,504.73,2427208
10-Jun-11,514.08,516.69,509.29,509.50,2440475
9-Jun-11,520.00,520.00,515.64,516.73,1689086
8-Jun-11,516.53,521.24,515.78,519.17,1654097
7-Jun-11,522.89,524.63,518.99,519.03,1907509
6-Jun-11,525.84,526.82,519.25,521.06,1942088
3-Jun-11,522.00,527.60,521.50,523.08,1748462
2-Jun-11,527.57,530.30,522.48,528.06,2204422
1-Jun-11,528.04,533.20,525.31,525.60,2957172
31-May-11,525.00,529.05,523.50,529.02,2687858
27-May-11,520.90,520.90,520.90,520.90,0
26-May-11,517.70,522.12,515.00,518.13,2118981
25-May-11,517.33,522.77,517.25,519.67,1301567
24-May-11,520.37,523.96,518.15,518.26,1888538
23-May-11,516.60,520.00,513.40,518.39,2252638
20-May-11,531.80,531.99,523.13,524.03,2318873
19-May-11,532.73,536.54,529.72,531.25,2471136
18-May-11,529.54,530.33,525.70,529.81,1954293
17-May-11,515.43,531.22,515.03,530.46,3304874
16-May-11,526.31,527.27,516.40,518.42,2956554
13-May-11,534.61,535.92,529.05,529.55,2107641
12-May-11,535.24,536.94,530.91,535.05,1448203
11-May-11,540.14,543.55,533.69,535.45,2338875
10-May-11,540.00,544.43,537.54,542.66,2041355
9-May-11,535.00,538.49,531.10,537.68,1947419
6-May-11,538.15,541.46,535.18,535.30,2056186
5-May-11,533.86,539.42,531.50,534.27,1997054
4-May-11,535.17,539.00,533.02,535.79,2116955
3-May-11,537.13,542.01,529.63,533.89,2081574
2-May-11,545.70,545.73,537.12,538.56,2133972
29-Apr-11,540.00,544.10,538.51,544.10,4228467
28-Apr-11,538.06,539.25,534.08,537.97,2037378
27-Apr-11,538.00,538.11,534.35,537.76,2297840
26-Apr-11,526.52,537.44,525.21,532.82,3530591
25-Apr-11,525.25,527.00,522.01,525.05,1629933
21-Apr-11,525.10,525.10,525.10,525.10,0
20-Apr-11,525.90,526.82,521.39,525.73,3059160
19-Apr-11,529.95,530.88,520.90,521.53,2685395
18-Apr-11,526.42,527.66,519.00,526.84,5041089
15-Apr-11,545.29,545.75,530.06,530.70,14050013
14-Apr-11,575.19,579.45,572.10,578.51,5456289
13-Apr-11,575.51,577.60,571.75,576.28,2071646
12-Apr-11,575.00,576.92,568.05,570.61,2085766
11-Apr-11,576.20,578.10,573.00,577.37,1858382
8-Apr-11,584.89,584.89,578.06,578.16,1902581
7-Apr-11,575.73,580.64,574.19,580.00,2531975
6-Apr-11,572.18,575.16,568.00,574.18,2668385
5-Apr-11,581.08,581.49,565.68,569.09,6048187
4-Apr-11,593.00,594.74,583.10,587.68,2054817
1-Apr-11,588.76,595.19,588.76,591.80,2613266
31-Mar-11,583.00,588.16,581.74,586.76,2031385
30-Mar-11,584.38,585.50,580.58,581.84,1422475
29-Mar-11,576.00,581.89,573.01,581.73,1605138
28-Mar-11,582.07,584.99,574.71,575.36,2218910
25-Mar-11,586.88,586.91,579.24,579.74,2859497
24-Mar-11,585.43,588.39,578.80,586.89,2097978
23-Mar-11,575.19,582.45,572.00,582.16,1816164
22-Mar-11,577.27,579.23,572.51,577.32,1887185
21-Mar-11,570.22,579.80,569.02,576.50,3022174
18-Mar-11,564.64,567.99,559.74,561.06,3302850
17-Mar-11,564.48,569.00,560.54,561.36,2899727
16-Mar-11,568.01,569.79,551.28,557.10,3800712
15-Mar-11,557.50,571.00,555.50,569.56,4006021
14-Mar-11,572.80,578.29,568.02,569.99,2813969
11-Mar-11,578.22,580.00,573.33,576.71,3029401
10-Mar-11,585.44,586.62,579.45,580.30,3127211
9-Mar-11,591.00,594.51,585.75,591.77,2150991
8-Mar-11,592.93,597.98,590.20,592.31,2287771
7-Mar-11,600.55,603.69,587.00,591.66,3461738
4-Mar-11,608.33,608.98,600.20,600.62,3011542
3-Mar-11,606.38,611.49,605.00,609.56,1949335
2-Mar-11,599.80,606.00,595.19,600.79,2026933
1-Mar-11,617.78,619.22,599.30,600.76,3323575
28-Feb-11,610.00,616.49,608.01,613.40,2284336
25-Feb-11,611.86,614.72,609.50,610.04,1935852
24-Feb-11,611.39,613.09,601.35,608.82,2712959
23-Feb-11,610.33,614.70,604.00,611.32,2891878
22-Feb-11,620.03,624.93,607.77,610.21,3642208
18-Feb-11,630.08,630.08,630.08,630.08,0
17-Feb-11,621.25,627.25,620.28,625.26,1479175
16-Feb-11,625.63,626.50,622.10,624.22,1686963
15-Feb-11,627.32,630.09,623.10,624.15,2092614
14-Feb-11,623.34,629.64,620.04,628.15,2131868
11-Feb-11,613.79,625.00,613.00,624.50,2593390
10-Feb-11,613.90,617.50,611.56,616.44,2336117
9-Feb-11,616.87,619.45,612.34,616.50,1843394
8-Feb-11,614.93,619.63,614.51,618.38,1696452
7-Feb-11,610.16,618.39,609.21,614.30,1802017
4-Feb-11,610.15,611.44,606.61,610.98,1552505
3-Feb-11,609.48,611.45,606.13,610.15,1497474
2-Feb-11,611.00,614.34,607.53,612.00,1760755
1-Feb-11,604.49,613.36,603.11,611.04,2745862
31-Jan-11,603.60,604.47,595.55,600.36,2810069
28-Jan-11,619.07,620.36,599.76,600.99,4233962
27-Jan-11,617.89,619.70,613.25,616.79,2019427
26-Jan-11,620.33,622.49,615.28,616.50,2041746
25-Jan-11,608.20,620.69,606.52,619.91,3647644
24-Jan-11,607.57,612.49,601.23,611.08,4604997
21-Jan-11,639.58,641.73,611.36,611.83,8904357
20-Jan-11,632.21,634.08,623.29,626.77,5485733
19-Jan-11,642.12,642.96,629.66,631.75,3412573
18-Jan-11,626.06,641.99,625.27,639.63,3620063
14-Jan-11,624.18,624.18,624.18,624.18,0
13-Jan-11,616.97,619.67,614.16,616.69,1333947
12-Jan-11,619.35,619.35,614.77,616.87,1632698
11-Jan-11,617.71,618.80,614.50,616.01,1440991
10-Jan-11,614.80,615.39,608.56,614.21,1581069
7-Jan-11,615.91,618.25,610.13,616.44,2101270
6-Jan-11,610.68,618.43,610.05,613.50,2058176
5-Jan-11,600.07,610.33,600.05,609.07,2532225
4-Jan-11,605.62,606.18,600.12,602.12,1825499
3-Jan-11,596.48,605.59,596.48,604.35,2366286
31-Dec-10,596.74,598.42,592.03,593.97,1541459
30-Dec-10,598.00,601.33,597.39,598.86,989479
29-Dec-10,602.00,602.41,598.92,601.00,1019823
28-Dec-10,602.05,603.87,598.01,598.92,1064746
27-Dec-10,602.74,603.78,599.50,602.38,1208128
23-Dec-10,604.23,604.23,604.23,604.23,0
22-Dec-10,604.00,607.00,603.28,605.49,1207929
21-Dec-10,598.57,604.72,597.62,603.07,1881688
20-Dec-10,594.65,597.88,588.66,595.06,1973768
17-Dec-10,591.00,592.56,587.67,590.80,3089328
16-Dec-10,592.85,593.77,588.07,591.71,1596820
15-Dec-10,594.20,596.45,589.15,590.30,2168131
14-Dec-10,597.09,598.29,592.48,594.91,1643253
