Date,Open,High,Low,Close,Volume
17-Jun-11,15.18,15.20,14.90,14.97,80912885
16-Jun-11,14.84,15.10,14.80,15.05,73024219
15-Jun-11,14.96,14.99,14.78,14.84,92323100
14-Jun-11,15.11,15.22,14.92,15.08,91534534
13-Jun-11,15.14,15.28,15.04,15.06,63586044
10-Jun-11,15.31,15.36,15.01,15.12,78257754
9-Jun-11,15.32,15.47,15.25,15.31,67591170
8-Jun-11,15.41,15.58,15.21,15.30,100248362
7-Jun-11,16.04,16.04,15.49,15.51,107881030
6-Jun-11,16.04,16.17,15.88,15.99,58219738
3-Jun-11,16.14,16.19,15.98,16.01,74861021
2-Jun-11,16.31,16.52,16.23,16.25,62685151
1-Jun-11,16.76,16.77,16.36,16.38,61885899
31-May-11,16.59,16.82,16.51,16.80,56637467
27-May-11,16.46,16.46,16.46,16.46,0
26-May-11,16.16,16.37,16.15,16.25,64706469
25-May-11,16.15,16.26,16.11,16.19,59601864
24-May-11,16.40,16.46,16.25,16.27,42476550
23-May-11,16.41,16.44,16.22,16.35,68265450
20-May-11,16.68,16.72,16.51,16.53,50894173
19-May-11,16.75,16.83,16.56,16.66,68259864
18-May-11,16.64,16.66,16.34,16.65,92724663
17-May-11,16.50,16.72,16.46,16.64,78206612
16-May-11,16.82,16.87,16.60,16.60,81626357
13-May-11,16.86,16.96,16.78,16.88,80195326
12-May-11,16.96,17.08,16.64,16.93,238334305
11-May-11,17.82,17.99,17.65,17.78,129229938
10-May-11,17.65,17.94,17.65,17.79,68806102
9-May-11,17.53,17.67,17.47,17.60,46986881
6-May-11,17.63,17.70,17.50,17.56,60439423
5-May-11,17.48,17.68,17.45,17.48,67929254
4-May-11,17.37,17.56,17.28,17.47,58190483
3-May-11,17.53,17.57,17.29,17.41,56884525
2-May-11,17.51,17.60,17.39,17.58,46838717
29-Apr-11,17.32,17.56,17.26,17.52,137455282
28-Apr-11,17.20,17.38,17.18,17.29,52918574
27-Apr-11,17.60,17.64,17.08,17.19,97724097
